Time_min,method,A_fit,A_SE,A_CI95_lo,A_CI95_hi,C_fit,C_SE,C_CI95_lo,C_CI95_hi,k_fit_persec,k_SE_persec,tau_fit_s,tau_SE_s,tau_CI95_lo_s,tau_CI95_hi_s,t_half_s,t_half_SE_s,t_half_CI95_lo_s,t_half_CI95_hi_s,status,n_used
-30.0,joint,1.0324244339186046,0.023708318154902545,0.9858975192691325,1.0789513485680766,-2.3489979001943206,0.37184427667717174,-3.0787319458915228,-1.6192638544971187,0.015414059502929605,0.0023990925708706,64.87583623314413,10.097478649694597,49.696325845230575,93.40637756432105,44.968502971472596,6.999038856800053,34.44686814380991,64.74436725502686,ok,2
-20.0,joint,0.9437468193912054,0.015138670623543586,0.9140387669115985,0.9734548718708124,-16.707490924042357,45.414934299566504,-105.8295337427275,72.41455189464278,0.0011100060419951302,0.002951783839582389,900.8959971088041,2395.7079014006817,144.87353255631837,inf,624.4535203737082,1660.5781773010663,100.41868062917152,inf,ok,2
-10.0,joint,0.9591901122116219,0.030236526890869687,0.8998539501751004,1.0185262742481433,-0.6365443219621856,0.0717557586911359,-0.7773578267710479,-0.4957308171533232,0.03770061976994258,0.0037791562696113264,26.524762884594963,2.65887469667514,22.164674726838665,33.020297284772646,18.38556460847808,1.8429914994625531,15.363381794936497,22.887925964191375,ok,2
0.0,joint,1.076208896632617,0.02686836717738628,1.0234828122148534,1.1289349810503808,-1.313213499356886,0.3389742301256055,-1.9784114905504757,-0.6480155081632963,0.016545943138301582,0.003445783918462202,60.43777569168223,12.586500135126268,42.903911270326844,102.20781148289352,41.89227382000394,8.724297081780144,29.73872513202112,70.84505636057004,ok,2
10.0,joint,1.2156808096202592,0.01987748737086972,1.176673523832844,1.2546880954076742,-1.1845754692408985,0.11929688984338269,-1.4186819128193855,-0.9504690256624115,0.023754223081971476,0.0020197050158827314,42.09777758460813,3.579367435076391,36.07807878036764,50.528569316847694,29.17995584061079,2.4810284458112837,25.007418586631417,35.023735359700744,ok,2
20.0,joint,1.2124902841132934,0.02552942251971214,1.1623900398911025,1.2625905283354844,-0.9222794305423968,0.0751443051382879,-1.069746457516006,-0.7748124035687877,0.03459241425462932,0.0025313175810124456,28.908071944304243,2.1153629292005047,25.278057803710972,33.755471162825565,20.037548563618543,1.466257850236357,17.521414496673582,23.397509664985073,ok,2
30.0,joint,1.365485957642236,0.03348977034236912,1.2997600830843414,1.4312118322001306,-0.32714670261719336,0.04290642174362082,-0.41135337421928503,-0.2429400310151017,0.05512415501023132,0.003923475106411896,18.14086764349304,1.2911806556444718,15.917424811902794,21.086335380980994,12.57429125999834,0.8949782310535073,11.03311813014534,14.615933917668396,ok,2
40.0,joint,1.2274071754921243,0.013519740198387854,1.2008764374909686,1.25393791349328,-0.6612047714400945,0.031911625117578724,-0.7238272000342874,-0.5985823428459016,0.03734518860852515,0.0014090915470518,26.777211128389382,1.0103454624412187,24.931222141835004,28.9184256658887,18.560548396901492,0.7003181086826648,17.281006335526616,20.044725216543114,ok,2
50.0,joint,1.4647677299487007,0.013768369570118712,1.437747393209105,1.4917880666882966,-0.5002731639195632,0.030927017054615015,-0.5609672360034893,-0.43957909183563715,0.04023718553430544,0.001438232205805772,24.852632874817235,0.8883289555417567,23.22356722610236,26.727488395394847,17.226532406670977,0.6157427109435296,16.0973501453172,18.526083224716594,ok,2
60.0,joint,1.3835279817080062,0.01473713706955462,1.3546075257382286,1.4124484376777837,-0.8771913180454014,0.043964090969431484,-0.9634673397130997,-0.7909152963777031,0.03393690135961984,0.0013662843850830468,29.46644979172612,1.1863060156155627,27.30888014735526,31.994187564692755,20.424586594246147,0.8222846700052298,18.929073278388763,22.176680904772844,ok,2
