Time,Rep1,Rep2
-30.0,135.39151787719024,212.1063788148703
-20.0,141.26445831437388,195.8346044531836
-10.0,164.93145869512043,199.67825814784422
0.0,131.55821504670806,188.29317100760892
10.0,186.5143209671919,244.41328803426956
20.0,147.23210020438174,148.14431462154886
30.0,156.25339945293655,144.94102130764233
40.0,136.91118246081402,165.29836865241117
50.0,144.68363552302657,131.69258548315722
60.0,133.79904617290563,126.68652353462659
70.0,124.53356510858885,141.3490543211833
80.0,143.70586553486072,133.31412882196602
90.0,128.53349736150187,115.5753298254809
100.0,156.27789243843185,183.4393608227782
110.0,132.35935211954728,138.26334234280716
120.0,103.94293808746883,70.26074676694128
