Time,Mean AUC,SEM AUC
-30.0,173.74894834603026,38.357430468840036
-20.0,168.54953138377874,27.285073069404856
-10.0,182.30485842148232,17.373399726361896
0.0,159.9256930271585,28.36747798045043
10.0,215.46380450073073,28.94948353353882
20.0,147.6882074129653,0.4561072085835604
30.0,150.59721038028943,5.656189072647108
40.0,151.1047755566126,14.193593095798574
50.0,138.18811050309188,6.495525019934674
60.0,130.24278485376612,3.5562613191395225
70.0,132.94130971488607,8.407744606297227
80.0,138.50999717841336,5.195868356447349
90.0,122.05441359349139,6.479083768010483
100.0,169.85862663060504,13.580734192173182
110.0,135.31134723117722,2.9519951116299405
120.0,87.10184242720506,16.841095660263772
