Time_min,method,A_fit,A_SE,A_CI95_lo,A_CI95_hi,C_fit,C_SE,C_CI95_lo,C_CI95_hi,k_fit_persec,k_SE_persec,tau_fit_s,tau_SE_s,tau_CI95_lo_s,tau_CI95_hi_s,t_half_s,t_half_SE_s,t_half_CI95_lo_s,t_half_CI95_hi_s,status,n_used
-30.0,joint,1.0981591873503085,0.030153883441102095,1.0389863922346079,1.157331982466009,-0.8139185851420405,0.09124191246462049,-0.9929681262328032,-0.6348690440512779,0.03288509156668398,0.0032342376402323897,30.4089163921655,2.990706648780015,25.489505347610013,37.681316651913924,21.07785466111262,2.0729998814837503,17.66797876556353,26.118698397060655,ok,2
-20.0,joint,0.9955830307911158,0.022000897016647498,0.9524086885213704,1.038757373060861,-0.39080448478847585,0.04016966951481381,-0.46963304615044343,-0.31197592342650826,0.042830323667044985,0.0030341409093966915,23.34794403548792,1.6539905861810162,20.498317493457154,27.11779423052451,16.183561580069842,1.1464589114840626,14.208350976812431,18.796622613892815,ok,2
-10.0,joint,0.9984396398860067,0.017087137677169583,0.9649078399669148,1.0319714398050988,-0.9110117001797826,0.10490671417527431,-1.1168806418571673,-0.7051427585023979,0.0236332037491067,0.0022098865663678874,42.313349075145965,3.956624023212875,35.75273871856175,51.822809732551775,29.32937861148619,2.7425227862257517,24.781910040067466,35.920834454812756,ok,2
0.0,joint,0.9757339258662368,0.015162445058105227,0.9459795924699872,1.0054882592624863,-0.488037629594388,0.03760332423337775,-0.5618292800676138,-0.41424597912116223,0.03643077971228842,0.0020560671280601553,27.44931642686449,1.5491745616951704,24.712381862143147,30.86799464032104,19.02641628957891,1.0738059796341963,17.129317812665253,21.396063454478032,ok,2
10.0,joint,0.9832484481550898,0.010946516607274614,0.9617673279655514,1.0047295683446282,-0.2743966745292153,0.03635884431733892,-0.34574619444995724,-0.20304715460847333,0.03153573223908054,0.0018267061768005661,31.710061222575757,1.836804177016063,28.473474634355235,35.776820906932315,21.97973953181164,1.2731756365394147,19.73630866354845,24.798602541038235,ok,2
20.0,joint,0.844258772936942,0.0029366710183481716,0.8384956533245528,0.8500218925493311,-0.4210101268800314,0.008920739548182337,-0.4385167827927742,-0.40350347096728867,0.034273650920586,0.0004974587595335524,29.176932516382834,0.4234833543185837,28.368877009986683,30.03237076870563,20.223908511118548,0.2935362930599946,19.66380711512412,20.816853123859225,ok,2
30.0,joint,0.9173614033994519,0.006871190493338003,0.9038776160302884,0.9308451907686155,-0.283568307316458,0.012331027310336166,-0.30776629025072955,-0.25937032438218643,0.04277258961426853,0.0010805389163890996,23.379458878178596,0.5906215964432351,22.275186707435303,24.59892843682544,16.205406004426674,0.4093876943524422,15.43998286270515,17.050677890781415,ok,2
40.0,joint,0.7884546558380703,0.00902092906450861,0.7707517561372876,0.8061575555388529,-0.37465814180797297,0.031869055978161503,-0.43719878451845334,-0.3121174990974926,0.03129144444566519,0.0016869062592047481,31.95761709678859,1.7228192966115834,28.900170472101983,35.738515314116995,22.151332188053313,1.1941673380605873,20.032071680439273,24.77205112737862,ok,2
50.0,joint,0.8044062760458646,0.003383991420854065,0.7977654970941123,0.8110470549976169,-0.27568156603497945,0.007306850241019007,-0.29002060276691033,-0.2613425293030486,0.03968872607324417,0.0006181313867175321,25.196072006809562,0.3924157933580891,24.448829648210893,25.990431137433767,17.46458627270541,0.27200190077335357,16.94663733864778,18.01519406444963,ok,2
60.0,joint,0.8459813768976163,0.0029658589706013936,0.8401612918809633,0.8518014619142693,-0.423975914647984,0.006979195021934618,-0.43767161251430037,-0.41028021678166765,0.03725101713248141,0.0004576149929443092,26.84490456847256,0.3297797418793301,26.212991227847006,27.508037427823723,18.60746991403755,0.2285858982894442,18.16946096362473,19.067118585833462,ok,2
70.0,joint,0.8442163381623705,0.008034713107188556,0.8284493331119681,0.8599833432127729,-0.4208083575348897,0.019840986480284505,-0.45974352919145134,-0.3818731858783281,0.03636661547768713,0.001254631033464938,27.497747229558758,0.9486592736612032,25.75417623024469,29.494542985217823,19.0599859639187,0.6575605008503086,17.851434641638065,20.444059312107846,ok,2
80.0,joint,0.7558789415688706,0.004426157148144546,0.7471931383949902,0.7645647447427509,-0.4830068665148351,0.018786988457416113,-0.5198740807843246,-0.4461396522453455,0.02807555092187995,0.0007954458907802308,35.61817906200644,1.0091461517810294,33.742155320179236,37.71509344261392,24.68864039350904,0.6994868098799392,23.388279826197998,26.14211068430272,ok,2
90.0,joint,0.758902842608596,0.005382211169209275,0.7483407370352461,0.7694649481819459,-0.49896145960192556,0.018806980868985936,-0.5358684688606101,-0.46205445034324094,0.031265682211817074,0.0009227137280986791,31.983949469749398,0.9439112524273648,30.233013434749758,33.95016313043846,22.169584398128553,0.6542694233188346,20.955928022127743,23.532459853413624,ok,2
100.0,joint,0.782312793505499,0.004127499740839175,0.7742130697159358,0.7904125172950621,-0.10667785266374771,0.009074309273270756,-0.12448509756005405,-0.08887060776744138,0.03885018358865189,0.0009073234054468765,25.73990410413657,0.601140465510259,24.611933141191546,26.97623144098393,17.84154195766563,0.4166788187889291,17.059692064946795,18.69849876545056,ok,2
