Time,Mean AUC,SEM AUC
-30.0,145.27695587827895,5.986910728183773
-20.0,260.0559139873306,32.83718383093304
-10.0,132.35078585516618,28.103892657791945
0.0,233.30894553281945,22.821551687867327
10.0,190.98141808440062,39.78018660216641
20.0,162.48057983195451,6.260778966209202
30.0,230.44955838358067,31.996347767426712
40.0,167.64455418615296,9.863462386387283
50.0,243.5616022451538,39.72685494280292
60.0,200.27718956713107,47.899416292366155
70.0,215.2164692331255,20.06559255741844
80.0,295.74037242101053,36.02406369183271
90.0,240.74239031193872,80.49441141662156
100.0,238.06701634756104,15.813160151608017
110.0,184.7758706662277,5.764915410306968
120.0,192.5148529812163,11.855113078925426
