Time,Rep1,Rep2
-30.0,139.29004515009518,151.26386660646273
-20.0,227.21873015639756,292.89309781826364
-10.0,160.45467851295814,104.24689319737423
0.0,256.1304972206868,210.48739384495212
10.0,151.20123148223422,230.76160468656704
20.0,168.7413587981637,156.2198008657453
30.0,262.44590615100736,198.45321061615394
40.0,177.50801657254024,157.78109179976568
50.0,203.83474730235088,283.28845718795674
60.0,152.3777732747649,248.17660585949722
70.0,195.15087667570708,235.28206179054396
80.0,259.71630872917785,331.76443611284327
90.0,321.2368017285603,160.24797889531717
100.0,253.88017649916904,222.253856195953
110.0,179.01095525592072,190.54078607653466
120.0,204.36996606014173,180.65973990229088
